zip_code,distance,city,state
07101,19.283,"Newark","NJ"
07175,19.283,"Newark","NJ"
07184,19.283,"Newark","NJ"
07188,19.283,"Newark","NJ"
07189,19.283,"Newark","NJ"
07191,19.283,"Newark","NJ"
07192,19.283,"Newark","NJ"
07193,19.283,"Newark","NJ"
07195,19.283,"Newark","NJ"
07198,19.283,"Newark","NJ"
07199,19.283,"Newark","NJ"
07395,19.834,"Jersey City","NJ"
07108,19.14,"Newark","NJ"
07105,19.135,"Newark","NJ"
07111,19.306,"Irvington","NJ"
07182,18.59,"Newark","NJ"
07194,18.59,"Newark","NJ"
07310,19.817,"Jersey City","NJ"
07040,19.265,"Maplewood","NJ"
07306,18.938,"Jersey City","NJ"
07102,18.204,"Newark","NJ"
07103,18.044,"Newark","NJ"
07106,18.061,"Newark","NJ"
10011,19.82,"New York","NY"
07078,19.736,"Short Hills","NJ"
07029,17.667,"Harrison","NJ"
07030,18.941,"Hoboken","NJ"
07079,17.959,"South Orange","NJ"
07099,17.483,"Kearny","NJ"
10072,19.58,"New York","NY"
10098,19.58,"New York","NY"
10119,19.491,"New York","NY"
10001,19.372,"New York","NY"
07307,18.116,"Jersey City","NJ"
10199,19.327,"New York","NY"
10168,19.832,"New York","NY"
10174,19.877,"New York","NY"
10165,19.745,"New York","NY"
07032,17.218,"Kearny","NJ"
10017,19.9,"New York","NY"
10170,19.794,"New York","NY"
10173,19.611,"New York","NY"
10169,19.673,"New York","NY"
10110,19.515,"New York","NY"
10167,19.702,"New York","NY"
10177,19.644,"New York","NY"
10172,19.665,"New York","NY"
10018,19.185,"New York","NY"
07018,16.997,"East Orange","NJ"
10171,19.643,"New York","NY"
10154,19.582,"New York","NY"
10020,19.384,"New York","NY"
10152,19.544,"New York","NY"
10022,19.658,"New York","NY"
10111,19.36,"New York","NY"
10112,19.295,"New York","NY"
10036,19.022,"New York","NY"
07051,16.828,"Orange","NJ"
07019,16.66,"East Orange","NJ"
10149,19.248,"New York","NY"
10103,19.262,"New York","NY"
10044,19.983,"New York","NY"
07107,16.344,"Newark","NJ"
10153,19.239,"New York","NY"
10065,19.439,"New York","NY"
10019,18.702,"New York","NY"
07087,17.522,"Union City","NJ"
07104,15.974,"Newark","NJ"
07086,17.755,"Weehawken","NJ"
07050,16.341,"Orange","NJ"
10021,19.311,"New York","NY"
10162,19.563,"New York","NY"
10082,18.656,"New York","NY"
07017,15.812,"East Orange","NJ"
10075,19.146,"New York","NY"
10023,18.231,"New York","NY"
10069,18.007,"New York","NY"
10028,19.06,"New York","NY"
07932,19.285,"Florham Park","NJ"
07096,16.171,"Secaucus","NJ"
10128,18.891,"New York","NY"
07094,15.911,"Secaucus","NJ"
07052,15.572,"West Orange","NJ"
07039,16.95,"Livingston","NJ"
07031,14.873,"North Arlington","NJ"
07093,16.735,"West New York","NJ"
10029,18.513,"New York","NY"
07047,16.029,"North Bergen","NJ"
10035,18.826,"New York","NY"
07109,14.066,"Belleville","NJ"
07071,14.195,"Lyndhurst","NJ"
10024,17.178,"New York","NY"
10025,17.42,"New York","NY"
10026,17.662,"New York","NY"
07028,13.552,"Glen Ridge","NJ"
10454,18.769,"Bronx","NY"
07003,13.158,"Bloomfield","NJ"
10474,19.742,"Bronx","NY"
10115,16.848,"New York","NY"
10027,17.188,"New York","NY"
07020,16.136,"Edgewater","NJ"
10037,17.648,"New York","NY"
07042,13.09,"Montclair","NJ"
10455,18.622,"Bronx","NY"
07073,13.31,"East Rutherford","NJ"
10030,17.177,"New York","NY"
07936,16.096,"East Hanover","NJ"
07983,17.658,"Whippany","NJ"
07999,17.658,"Whippany","NJ"
07070,12.782,"Rutherford","NJ"
07981,18.114,"Whippany","NJ"
10451,17.721,"Bronx","NY"
07110,12.349,"Nutley","NJ"
07022,15.035,"Fairview","NJ"
07068,14.308,"Roseland","NJ"
07927,19.285,"Cedar Knolls","NJ"
07010,15.457,"Cliffside Park","NJ"
10031,16.576,"New York","NY"
10459,18.716,"Bronx","NY"
07072,13.162,"Carlstadt","NJ"
07021,13.071,"Essex Fells","NJ"
